chr,strand,coord,tottag,UPA_start,UPA_end,nPA,maxtag,ftr,gene_type,ftr_start,ftr_end,gene,gene_start,gene_end,gene_stop_codon
chr1,-,106713026,2,106713026,106713026,1,2,5UTR,NA,106712881,106714274,12043,106538178,106714274,106543264
chr1,-,106723507,2,106723507,106723507,1,2,3UTR,NA,106720459,106724901,70750,106720459,106759727,106724902
chr1,-,106723900,4,106723900,106723900,2,2,3UTR,NA,106720459,106724901,70750,106720459,106759727,106724902
chr1,-,106724822,4,106724822,106724824,2,2,3UTR,NA,106720459,106724901,70750,106720459,106759727,106724902
chr1,-,106730679,2,106730679,106730679,1,2,intron,NA,106727731,106734546,70750,106720459,106759727,106724902
chr1,-,106769433,2,106769433,106769433,1,2,3UTR,NA,106769430,106772446,20479,106764071,106796667,106772447
chr1,-,106772029,2,106772029,106772029,1,2,3UTR,NA,106769430,106772446,20479,106764071,106796667,106772447
chr1,-,107948774,6,107948774,107948777,3,2,intergenic,NA,107963122,107756708,character(0),107963122,107963307,3074322
chr1,-,108575167,2,108575167,108575167,1,2,intergenic,NA,108612337,108379438,character(0),108612337,108612514,3074322
chr1,-,108575253,2,108575253,108575253,1,2,intergenic,NA,108612337,108379438,character(0),108612337,108612514,3074322
chr1,-,109197133,12,109197133,109197143,6,2,intergenic,NA,109574943,108998760,character(0),109574943,109575129,3074322
chr1,-,109424224,6,109424222,109424224,3,2,intergenic,NA,109574943,108998760,character(0),109574943,109575129,3074322
chr1,-,110318802,2,110318802,110318802,1,2,intergenic,NA,110410743,109623137,character(0),110410743,110411280,3074322
chr1,-,111858701,2,111858701,111858701,1,2,3UTR,NA,NA,NA,319901,NA,NA,NA
chr1,-,11376776,2,11376776,11376776,1,2,intergenic,NA,11608139,11366964,character(0),11608139,11608400,3074322
chr1,-,113904019,2,113904019,113904019,1,2,intron,NA,113892049,113909334,character(0),3073253,3074322,3074322
chr1,-,115065587,2,115065587,115065587,1,2,intergenic,NA,115219190,113964134,character(0),115219190,115219763,3074322
chr1,-,115134653,4,115134653,115134653,2,2,intergenic,NA,115219190,113964134,character(0),115219190,115219763,3074322
chr1,-,115632397,2,115632397,115632397,1,2,intergenic,NA,115668988,115219763,character(0),115668988,115684619,3074322
chr1,-,116166827,2,116166827,116166827,1,2,intergenic,NA,116394342,115684624,character(0),116394342,116394413,3074322
chr1,-,116198292,2,116198292,116198292,1,2,intergenic,NA,116394342,115684624,character(0),116394342,116394413,3074322
chr1,-,116741505,4,116741505,116741505,2,2,intergenic,NA,117392257,116394413,character(0),117392257,117393532,3074322
chr1,-,117260916,6,117260916,117260920,3,2,intergenic,NA,117392257,116394413,character(0),117392257,117393532,3074322
chr1,-,118296028,2,118296028,118296028,1,2,3UTR,NA,118294778,118300803,22099,118294778,118311416,118300804
chr1,-,118296102,2,118296102,118296102,1,2,3UTR,NA,118294778,118300803,22099,118294778,118311416,118300804
chr1,-,118298517,6,118298514,118298517,3,2,3UTR,NA,118294778,118300803,22099,118294778,118311416,118300804
chr1,-,118300330,2,118300330,118300330,1,2,3UTR,NA,118294778,118300803,22099,118294778,118311416,118300804
chr1,-,118300605,2,118300605,118300605,1,2,3UTR,NA,118294778,118300803,22099,118294778,118311416,118300804
chr1,-,118387973,2,118387973,118387973,1,2,intergenic,NA,118453355,118311739,character(0),118453355,118453485,3074322
chr1,-,118390274,2,118390274,118390274,1,2,intergenic,NA,118453355,118311739,character(0),118453355,118453485,3074322
chr1,-,118413792,4,118413792,118413802,2,2,intergenic,NA,118453355,118311739,character(0),118453355,118453485,3074322
chr1,-,118458965,2,118458965,118458965,1,2,exon,NA,118458652,118459267,68204,118458652,118459267,118458652
chr1,-,119458494,2,119458494,119458494,1,2,intergenic,NA,119470305,119422248,64143,119470305,119504794,119471706
chr1,-,119470307,6,119470307,119470308,3,2,3UTR,NA,119470305,119471705,64143,119470305,119504794,119471706
chr1,-,119591198,2,119591198,119591198,1,2,3UTR,NA,119590742,119595878,226352,119545037,119648936,119549129
chr1,-,119595004,2,119595004,119595004,1,2,3UTR,NA,119590742,119595878,226352,119545037,119648936,119549129
chr1,-,119652467,2,119652467,119652467,1,2,3UTR,NA,119652467,119659830,19258,119652467,119837613,119659831
chr1,-,119652565,2,119652565,119652565,1,2,3UTR,NA,119652467,119659830,19258,119652467,119837613,119659831
chr1,-,119909711,2,119909711,119909711,1,2,3UTR,NA,119907890,119910011,66343,119907890,119913208,119910012
chr1,-,120113279,12,120113279,120113279,6,2,3UTR,NA,NA,NA,13167,NA,NA,NA
chr1,-,120119491,2,120119491,120119491,1,2,intron,NA,120116449,120119894,13167,120113280,120121078,120113460
chr1,-,120119568,2,120119568,120119568,1,2,intron,NA,120116449,120119894,13167,120113280,120121078,120113460
chr1,-,120439254,2,120439254,120439254,1,2,intergenic,NA,120474538,120272705,17167,120474538,120505024,120474659
chr1,-,121304353,6,121304353,121304355,3,2,3UTR,NA,121304353,121305905,72999,121304353,121328024,121305906
chr1,-,12223461,2,12223461,12223461,1,2,intergenic,NA,12670324,11608400,character(0),12670324,12671176,3074322
chr1,-,122603029,8,122603023,122603029,4,2,intergenic,NA,123147920,121970524,character(0),123147920,123149217,3074322
chr1,-,123298007,2,123298007,123298007,1,2,intergenic,NA,123321471,123149217,269109,123321471,124045559,123334249
chr1,-,123680758,2,123680758,123680758,1,2,intron,NA,123650363,123686220,269109,123321471,124045559,123334249
chr1,-,123718582,4,123718580,123718582,2,2,intron,NA,123686316,123854165,269109,123321471,124045559,123334249
chr1,-,124285516,2,124285516,124285516,1,2,intron,NA,123905177,124845718,269109,123321471,124045559,123334249
chr1,-,12459284,2,12459284,12459284,1,2,intergenic,NA,12670324,11608400,character(0),12670324,12671176,3074322
chr1,-,125392907,8,125392898,125392908,4,2,3UTR,NA,125392905,125393994,74117,125392905,125435727,125393995
chr1,-,125393211,2,125393211,125393211,1,2,3UTR,NA,125392905,125393994,74117,125392905,125435727,125393995
chr1,-,125595177,2,125595177,125595177,1,2,intergenic,NA,125667988,125435727,character(0),125667988,125668616,3074322
chr1,-,125944818,2,125944818,125944818,1,2,intron,NA,125915022,125976925,210356,125913620,126492927,125914743
chr1,-,126621741,2,126621741,126621741,1,2,intron,NA,126528756,126695685,210356,125913620,126492927,125914743
chr1,-,126708438,4,126708438,126708440,2,2,intron,NA,126695815,126830316,210356,125913620,126492927,125914743
chr1,-,12747843,4,12747843,12747843,2,2,intergenic,NA,12866549,12671176,240726,12866549,12992650,12871868
chr1,-,127795793,2,127795793,127795793,1,2,intergenic,NA,127814791,127774092,22625,127814791,127855031,127815271
chr1,-,127847540,4,127847538,127847540,2,2,intron,NA,127847425,127850312,22625,127814791,127855031,127815271
chr1,-,127954184,2,127954184,127954184,1,2,3UTR,NA,127954184,127954966,226409,127954184,128102462,127954967
chr1,-,128284750,4,128284750,128284756,2,2,3UTR,NA,NA,NA,226413,NA,NA,NA
chr1,-,128331590,10,128331583,128331590,5,2,3UTR,NA,128331590,128331934,17219,128331590,128359664,128331935
chr1,-,128363704,10,128363702,128363707,5,2,3UTR,NA,NA,NA,226414,NA,NA,NA
chr1,-,128456306,2,128456306,128456306,1,2,intergenic,NA,128493845,128417368,character(0),128493845,128494432,3074322
chr1,-,13042627,2,13042627,13042627,1,2,intergenic,NA,13059401,12992650,character(0),13059401,13059951,3074322
chr1,-,130431656,2,130431656,130431656,1,2,exon,NA,130429781,130432225,character(0),3073253,3074322,3074322
chr1,-,130446661,2,130446661,130446661,1,2,3UTR,NA,130446661,130447307,13136,130439027,130462744,130440312
chr1,-,130446747,2,130446747,130446747,1,2,3UTR,NA,130446661,130447307,13136,130439027,130462744,130440312
chr1,-,130449072,2,130449072,130449072,1,2,intron,NA,130448409,130449416,13136,130439027,130462744,130440312
chr1,-,130449216,2,130449216,130449216,1,2,intron,NA,130448409,130449416,13136,130439027,130462744,130440312
chr1,-,130634773,2,130634773,130634773,1,2,3UTR,NA,130634773,130636205,12269,130634773,130661632,130636206
chr1,-,130635808,2,130635808,130635808,1,2,3UTR,NA,130634773,130636205,12269,130634773,130661632,130636206
chr1,-,130635884,4,130635882,130635884,2,2,3UTR,NA,130634773,130636205,12269,130634773,130661632,130636206
chr1,-,130670198,4,130670198,130670198,2,2,3UTR,NA,NA,NA,18640,NA,NA,NA
chr1,-,130809971,2,130809971,130809971,1,2,3UTR,NA,NA,NA,character(0),NA,NA,NA
chr1,-,130831759,8,130831759,130831759,4,2,intergenic,NA,130882074,130824084,93672,130882074,130887454,130882455
chr1,-,130832442,2,130832442,130832442,1,2,intergenic,NA,130882074,130824084,93672,130882074,130887454,130882455
chr1,-,130832514,2,130832514,130832514,1,2,intergenic,NA,130882074,130824084,93672,130882074,130887454,130882455
chr1,-,13094534,2,13094534,13094534,1,2,intergenic,NA,13113457,13059951,383491,13113457,13127163,13114260
chr1,-,131040387,2,131040387,131040387,1,2,intergenic,NA,131053700,130940115,17164,131053700,131097826,131055092
chr1,-,131053700,8,131053700,131053700,4,2,3UTR,NA,131053700,131055091,17164,131053700,131097826,131055092
chr1,-,131141196,2,131141196,131141196,1,2,intergenic,NA,131176410,131138340,54354,131176410,131245258,131178525
chr1,-,131254547,2,131254547,131254547,1,2,exon,NA,131254343,131255338,56489,131254343,131265131,131254343
chr1,-,131254601,4,131254601,131254601,2,2,3UTR,NA,131254597,131255304,56489,131254343,131265131,131254343
chr1,-,131295218,2,131295218,131295218,1,2,3UTR,NA,131295218,131295469,14270,131285251,131527347,131289357
chr1,-,13139120,10,13139108,13139125,5,2,3UTR,NA,13139105,13142760,17978,13139105,13372439,13142761
chr1,-,13141274,2,13141274,13141274,1,2,3UTR,NA,13139105,13142760,17978,13139105,13372439,13142761
chr1,-,132022850,2,132022850,132022850,1,2,3UTR,NA,132022806,132023636,213006,132022806,132067911,132028486
chr1,-,132036783,10,132036783,132036783,5,2,intron,NA,132028548,132040539,213006,132022806,132067911,132028486
chr1,-,132105062,2,132105062,132105062,1,2,intergenic,NA,132112237,132068062,18557,132112237,132139684,132114936
chr1,-,132113582,6,132113582,132113585,3,2,3UTR,NA,132112237,132114935,18557,132112237,132139684,132114936
chr1,-,132113652,2,132113652,132113652,1,2,3UTR,NA,132112237,132114935,18557,132112237,132139684,132114936
chr1,-,132118348,2,132118348,132118348,1,2,intron,NA,132117874,132118520,18557,132112237,132139684,132114936
chr1,-,132152288,4,132152288,132152288,2,2,intergenic,NA,132229048,132139684,character(0),132229048,132229767,3074322
chr1,-,133040069,2,133040069,133040069,1,2,intergenic,NA,133050128,133030561,character(0),133050128,133068405,3074322
chr1,-,133603873,2,133603873,133603873,1,2,3UTR,NA,133603871,133604020,20643,133603871,133610291,133604021
chr1,-,133603937,4,133603937,133603937,2,2,3UTR,NA,133603871,133604020,20643,133603871,133610291,133604021
chr1,-,133621275,4,133621250,133621275,2,2,3UTR,NA,133619862,133621542,70579,133619862,133661318,133621543
chr1,-,133621429,2,133621429,133621429,1,2,3UTR,NA,133619862,133621542,70579,133619862,133661318,133621543
chr1,-,133656420,2,133656420,133656420,1,2,3UTR,NA,133655345,133656654,70579,133619862,133661318,133621543
chr1,-,133661277,2,133661277,133661277,1,2,5UTR,NA,133661237,133661318,70579,133619862,133661318,133621543
chr1,-,133912401,2,133912401,133912401,1,2,3UTR,NA,133910304,133912605,116847,133910304,133921414,133912606
chr1,-,133912455,2,133912455,133912455,1,2,3UTR,NA,133910304,133912605,116847,133910304,133921414,133912606
chr1,-,134075322,4,134075321,134075322,2,2,3UTR,NA,134075170,134077368,12227,134075170,134079120,134077369
chr1,-,134076874,4,134076874,134076874,2,2,3UTR,NA,134075170,134077368,12227,134075170,134079120,134077369
chr1,-,134346090,12,134346086,134346097,6,2,3UTR,NA,NA,NA,57439,NA,NA,NA
chr1,-,134347357,2,134347357,134347357,1,2,3UTR,NA,134346097,134348008,57439,134346097,134361979,134348009
chr1,-,134347417,4,134347417,134347427,2,2,3UTR,NA,134346097,134348008,57439,134346097,134361979,134348009
chr1,-,134347518,2,134347518,134347518,1,2,3UTR,NA,134346097,134348008,57439,134346097,134361979,134348009
chr1,-,134360817,2,134360817,134360817,1,2,CDS,NA,134360757,134360924,57439,134346097,134361979,134348009
chr1,-,134754660,4,134754658,134754660,2,2,3UTR,NA,134754658,134760408,329251,134754658,134955940,134760409
chr1,-,135142624,2,135142624,135142624,1,2,intergenic,NA,135150666,135132594,character(0),135150666,135150766,3074322
chr1,-,135253487,2,135253487,135253487,1,2,3UTR,NA,NA,NA,13710,NA,NA,NA
chr1,-,135253573,12,135253570,135253574,6,2,3UTR,NA,NA,NA,13710,NA,NA,NA
chr1,-,135258330,2,135258330,135258330,1,2,intron,NA,135257783,135258348,13710,135253575,135258568,135254266
chr1,-,135262709,4,135262704,135262709,2,2,3UTR,NA,NA,NA,215615,NA,NA,NA
chr1,-,135301465,2,135301465,135301465,1,2,3UTR,NA,135295213,135301917,21854,135295213,135313778,135301918
chr1,-,135301512,8,135301512,135301532,4,2,3UTR,NA,135295213,135301917,21854,135295213,135313778,135301918
chr1,-,135382315,6,135382315,135382316,3,2,3UTR,NA,135382312,135385366,226432,135382312,135430499,135385367
chr1,-,135384383,2,135384383,135384383,1,2,3UTR,NA,135382312,135385366,226432,135382312,135430499,135385367
chr1,-,135384423,2,135384423,135384423,1,2,3UTR,NA,135382312,135385366,226432,135382312,135430499,135385367
chr1,-,135384473,2,135384473,135384473,1,2,3UTR,NA,135382312,135385366,226432,135382312,135430499,135385367
chr1,-,135385241,2,135385241,135385241,1,2,3UTR,NA,135382312,135385366,226432,135382312,135430499,135385367
chr1,-,135437997,2,135437997,135437997,1,2,3UTR,NA,135434580,135441683,215690,135434580,135585355,135441684
chr1,-,13564695,8,13564695,13564696,4,2,3UTR,NA,NA,NA,72265,NA,NA,NA
chr1,-,13566201,4,13566201,13566218,2,2,3UTR,NA,13564698,13566322,72265,13564698,13589910,13566323
chr1,-,135740673,2,135740673,135740673,1,2,intergenic,NA,135871395,135688105,18772,135871395,135919207,135875630
chr1,-,13576368,2,13576368,13576368,1,2,CDS,NA,13576368,13576452,72265,13564698,13589910,13566323
chr1,-,13586168,2,13586168,13586168,1,2,intron,NA,13581087,13589599,72265,13564698,13589910,13566323
chr1,-,135871396,2,135871396,135871396,1,2,3UTR,NA,135871395,135873649,18772,135871395,135919207,135875630
chr1,-,136213524,8,136213520,136213524,4,2,3UTR,NA,NA,NA,67313,NA,NA,NA
chr1,-,13626752,4,13626752,13626752,2,2,3UTR,NA,13623330,13626860,212442,13623330,13660546,13626861
chr1,-,13626794,2,13626794,13626794,1,2,3UTR,NA,13623330,13626860,212442,13623330,13660546,13626861
chr1,-,136842562,2,136842562,136842562,1,2,3UTR,NA,NA,NA,26424,NA,NA,NA
chr1,-,136844231,2,136844231,136844231,1,2,3UTR,NA,136842571,136845462,26424,136842571,136960448,136845463
chr1,-,136844258,4,136844258,136844262,2,2,3UTR,NA,136842571,136845462,26424,136842571,136960448,136845463
chr1,-,136844815,2,136844815,136844815,1,2,3UTR,NA,136842571,136845462,26424,136842571,136960448,136845463
chr1,-,136946949,2,136946949,136946949,1,2,intron,NA,136945078,136948721,26424,136842571,136960448,136845463
chr1,-,137165600,4,137165600,137165601,2,2,intergenic,NA,137215544,136990270,character(0),137215544,137215647,3074322
chr1,-,137294902,2,137294902,137294902,1,2,intergenic,NA,137325434,137215647,character(0),137325434,137325842,3074322
chr1,-,137294980,2,137294980,137294980,1,2,intergenic,NA,137325434,137215647,character(0),137325434,137325842,3074322
chr1,-,137338828,2,137338828,137338828,1,2,intergenic,NA,137367151,137325842,character(0),137367151,137367247,3074322
chr1,-,137447557,2,137447557,137447557,1,2,intergenic,NA,137528850,137367247,character(0),137528850,137531230,3074322
chr1,-,137623195,2,137623195,137623195,1,2,intergenic,NA,137764077,137531230,character(0),137764077,137767527,3074322
chr1,-,13796667,2,13796667,13796667,1,2,intergenic,NA,13846871,13786879,character(0),13846871,13849119,3074322
chr1,-,138305414,2,138305414,138305414,1,2,intergenic,NA,138482875,138192127,59125,138482875,138619749,138487000
chr1,-,138375627,2,138375627,138375627,1,2,intergenic,NA,138482875,138192127,59125,138482875,138619749,138487000
chr1,-,138484777,2,138484777,138484777,1,2,3UTR,NA,138482875,138486999,59125,138482875,138619749,138487000
chr1,-,138598925,2,138598925,138598925,1,2,intron,NA,138561786,138619551,59125,138482875,138619749,138487000
chr1,-,138727770,6,138727769,138727774,3,2,intergenic,NA,138825186,138689845,16876,138825186,138848577,138828654
chr1,-,138852001,2,138852001,138852001,1,2,3UTR,NA,138851983,138852101,69549,138851983,138856852,138852102
chr1,-,139253976,2,139253976,139253976,1,2,intron,NA,139249076,139314570,170788,139197056,139377077,139198572
chr1,-,13935338,2,13935338,13935338,1,2,intergenic,NA,14109215,13849119,character(0),14109215,14112819,3074322
chr1,-,139697560,2,139697560,139697560,1,2,3UTR,NA,NA,NA,214403,NA,NA,NA
chr1,-,139697627,4,139697627,139697627,2,2,3UTR,NA,139697623,139698094,214403,139697623,139781168,139698095
chr1,-,139809357,2,139809357,139809357,1,2,intron,NA,139805478,139813433,545366,139804167,139858690,139804381
chr1,-,139810284,2,139810284,139810284,1,2,intron,NA,139805478,139813433,545366,139804167,139858690,139804381
chr1,-,139928050,4,139928050,139928050,2,2,intron,NA,139924177,139930726,character(0),3073253,3074322,3074322
chr1,-,140285010,2,140285010,140285010,1,2,intergenic,NA,140570176,140183764,75910,140570176,140656404,140570176
chr1,-,14134678,4,14134672,14134678,2,2,intergenic,NA,14168954,14112819,14048,14168954,14310200,14170916
chr1,-,143063987,2,143063987,143063987,1,2,intergenic,NA,143093347,142455814,character(0),143093347,143094616,3074322
chr1,-,143607462,2,143607462,143607462,1,2,3UTR,NA,143598800,143608520,214498,143598800,143702893,143608521
chr1,-,143607499,2,143607499,143607499,1,2,3UTR,NA,143598800,143608520,214498,143598800,143702893,143608521
chr1,-,143607947,2,143607947,143607947,1,2,3UTR,NA,143598800,143608520,214498,143598800,143702893,143608521
chr1,-,143803617,2,143803617,143803617,1,2,intergenic,NA,143999338,143777068,19735,143999338,144004161,144001680
chr1,-,143803686,2,143803686,143803686,1,2,intergenic,NA,143999338,143777068,19735,143999338,144004161,144001680
chr1,-,144138654,2,144138654,144138654,1,2,3UTR,NA,144138654,144139500,246709,144138654,144177372,144139501
chr1,-,14818288,2,14818288,14818288,1,2,intergenic,NA,14839869,14755992,character(0),14839869,14840156,3074322
chr1,-,14872647,2,14872647,14872647,1,2,3UTR,NA,NA,NA,277328,NA,NA,NA
chr1,-,148937982,4,148937980,148937982,2,2,exon,NA,148937897,148938376,character(0),3073253,3074322,3074322
chr1,-,148938011,2,148938011,148938011,1,2,exon,NA,148937897,148938376,character(0),3073253,3074322,3074322
chr1,-,148938072,2,148938072,148938072,1,2,exon,NA,148937897,148938376,character(0),3073253,3074322,3074322
chr1,-,149400712,2,149400712,149400712,1,2,intergenic,NA,149408490,149026047,character(0),149408490,149409945,3074322
chr1,-,149442314,2,149442314,149442314,1,2,intron,NA,149425447,149447405,character(0),3073253,3074322,3074322
chr1,-,149829618,2,149829618,149829618,1,2,3UTR,NA,149829618,149830060,18783,149829618,149961290,149830061
chr1,-,14983846,2,14983846,14983846,1,2,intergenic,NA,15019040,14918862,character(0),15019040,15019159,3074322
chr1,-,150045405,2,150045405,150045405,1,2,intergenic,NA,150063157,150024256,character(0),150063157,150063268,3074322
chr1,-,150361311,2,150361311,150361311,1,2,3UTR,NA,150361305,150362820,226499,150361305,150393080,150362821
chr1,-,151343859,2,151343859,151343859,1,2,intron,NA,151339949,151343952,character(0),3073253,3074322,3074322
chr1,-,151343915,2,151343915,151343915,1,2,intron,NA,151339949,151343952,character(0),3073253,3074322,3074322
chr1,-,151343950,2,151343950,151343950,1,2,intron,NA,151339949,151343952,character(0),3073253,3074322,3074322
chr1,-,151364271,2,151364271,151364271,1,2,intergenic,NA,151367699,151345231,66875,151367699,151428455,151368459
chr1,-,151367700,4,151367700,151367703,2,2,3UTR,NA,151367699,151368458,66875,151367699,151428455,151368459
chr1,-,151469434,4,151469434,151469434,2,2,3UTR,NA,151469405,151471315,19821,151458004,151476162,151458185
chr1,-,151469499,4,151469499,151469511,2,2,3UTR,NA,151469405,151471315,19821,151458004,151476162,151458185
chr1,-,151471233,2,151471233,151471233,1,2,3UTR,NA,151469405,151471315,19821,151458004,151476162,151458185
chr1,-,151520303,8,151520303,151520303,4,2,3UTR,NA,NA,NA,character(0),NA,NA,NA
chr1,-,151533988,4,151533983,151533988,2,2,intergenic,NA,151549245,151520687,character(0),151549245,151550943,3074322
chr1,-,151642079,2,151642079,151642079,1,2,intergenic,NA,151748949,151550943,102640772,151748949,151755018,151748949
chr1,-,151691438,2,151691438,151691438,1,2,intergenic,NA,151748949,151550943,102640772,151748949,151755018,151748949
chr1,-,151892246,2,151892246,151892246,1,2,3UTR,NA,151884524,151893393,69399,151852403,152089970,151893394
chr1,-,151892520,2,151892520,151892520,1,2,3UTR,NA,151884524,151893393,69399,151852403,152089970,151893394
chr1,-,151892587,2,151892587,151892587,1,2,3UTR,NA,151884524,151893393,69399,151852403,152089970,151893394
chr1,-,151893169,4,151893164,151893169,2,2,3UTR,NA,151884524,151893393,69399,151852403,152089970,151893394
chr1,-,152370735,2,152370735,152370735,1,2,3UTR,NA,152370735,152371262,66637,152370735,152386682,152371263
chr1,-,152836993,8,152836993,152836995,4,2,3UTR,NA,NA,NA,226517,NA,NA,NA
chr1,-,15306969,2,15306969,15306969,1,2,intergenic,NA,15685935,15269797,character(0),15685935,15686046,3074322
chr1,-,15307064,2,15307064,15307064,1,2,intergenic,NA,15685935,15269797,character(0),15685935,15686046,3074322
chr1,-,153122752,4,153122752,153122758,2,2,3UTR,NA,NA,NA,16782,NA,NA,NA
chr1,-,153137283,2,153137283,153137283,1,2,CDS,NA,153137191,153137353,16782,153122756,153186047,153124030
chr1,-,153218922,2,153218922,153218922,1,2,3UTR,NA,153218922,153220055,226519,153218922,153229144,153220056
chr1,-,153218991,2,153218991,153218991,1,2,3UTR,NA,153218922,153220055,226519,153218922,153229144,153220056
chr1,-,153220998,2,153220998,153220998,1,2,3UTR,NA,153218922,153221472,226519,153218922,153229144,153220056
chr1,-,153221055,2,153221055,153221055,1,2,3UTR,NA,153218922,153221472,226519,153218922,153229144,153220056
chr1,-,153221311,2,153221311,153221311,1,2,3UTR,NA,153218922,153221472,226519,153218922,153229144,153220056
chr1,-,153455759,6,153455758,153455760,3,2,3UTR,NA,153455758,153456068,13211,153455758,153487608,153456069
chr1,-,153464340,2,153464340,153464340,1,2,3UTR,NA,153464340,153464413,13211,153455758,153487608,153456069
chr1,-,153478266,2,153478266,153478266,1,2,intron,NA,153478190,153478865,13211,153455758,153487608,153456069
chr1,-,153482365,2,153482365,153482365,1,2,intron,NA,153481250,153482741,13211,153455758,153487608,153456069
chr1,-,153503004,4,153503004,153503015,2,2,3UTR,NA,NA,NA,74091,NA,NA,NA
chr1,-,153768864,2,153768864,153768864,1,2,intergenic,NA,153779381,153749324,240816,153779381,153808164,153781689
chr1,-,153909194,2,153909194,153909194,1,2,intergenic,NA,154003396,153900228,character(0),154003396,154006217,3074322
chr1,-,153909250,2,153909250,153909250,1,2,intergenic,NA,154003396,153900228,character(0),154003396,154006217,3074322
chr1,-,155096367,2,155096367,155096367,1,2,3UTR,NA,155096361,155098503,15939,155096361,155099636,155098504
chr1,-,155097522,6,155097521,155097522,3,2,3UTR,NA,155096361,155098503,15939,155096361,155099636,155098504
chr1,-,155098067,2,155098067,155098067,1,2,3UTR,NA,155096361,155098503,15939,155096361,155099636,155098504
chr1,-,155275657,4,155275657,155275660,2,2,3UTR,NA,NA,NA,19775,NA,NA,NA
chr1,-,155278777,2,155278777,155278777,1,2,3UTR,NA,155275701,155281009,19775,155275701,155417329,155281010
chr1,-,155332100,2,155332100,155332100,1,2,intron,NA,155330488,155332162,19775,155275701,155417329,155281010
chr1,-,155778164,4,155778155,155778164,2,2,3UTR,NA,155778158,155779168,104009,155778158,155812889,155779169
chr1,-,155844964,2,155844964,155844964,1,2,3UTR,NA,155844964,155848562,74081,155844964,155973255,155848563
chr1,-,155848530,2,155848530,155848530,1,2,3UTR,NA,155844964,155848562,74081,155844964,155973255,155848563
chr1,-,156004617,2,156004617,156004617,1,2,3UTR,NA,156004599,156006924,208263,156004599,156034817,156006925
chr1,-,156004681,2,156004681,156004681,1,2,3UTR,NA,156004599,156006924,208263,156004599,156034817,156006925
chr1,-,156004766,4,156004745,156004766,2,2,3UTR,NA,156004599,156006924,208263,156004599,156034817,156006925
