chr,strand,coord,peakID,start,end,toStop,ftr,gene_type,ftr_start,ftr_end,gene,gene_start,gene_end,gene_stop_codon
1,-,10223056,peak_138888,10223056,10223654,405,3UTR,protein_coding,NA,NA,AT1G29250,NA,NA,NA
1,-,1023909,peak_155438,1023909,1024066,NA,intergenic,protein_coding,1027853,1023719,AT1G04000,1027853,1029119,1028415
1,-,1024215,peak_155437,1024215,1025114,NA,intergenic,protein_coding,1027853,1023719,AT1G04000,1027853,1029119,1028415
1,-,10243964,peak_138902,10243964,10244184,NA,intergenic,protein_coding,10247707,10224799,AT1G29300,10247707,10249704,10248120
1,-,10247602,peak_157541,10247602,10248581,518,3UTR,protein_coding,NA,NA,AT1G29300,NA,NA,NA
1,-,10258204,peak_138920,10258204,10258983,376,3UTR,protein_coding,NA,NA,AT1G29330,NA,NA,NA
1,-,10259327,peak_138922,10259327,10259445,NA,intron,protein_coding,10258929,10259327,AT1G29330,10258248,10261232,10258580
1,-,10274030,peak_157556,10274030,10274804,NA,exon,lncRNA,10273931,10275147,AT1G29357,10273931,10275765,10273931
1,-,10277758,peak_138945,10277758,10278248,322,3UTR,protein_coding,10277748,10278079,AT1G29370,10277748,10281457,10278080
1,-,1027861,peak_155441,1027861,1027991,554,3UTR,protein_coding,1027853,1028414,AT1G04000,1027853,1029119,1028415
1,-,1028047,peak_155440,1028047,1028678,368,3UTR,protein_coding,1027853,1028414,AT1G04000,1027853,1029119,1028415
1,-,10283394,peak_157558,10283394,10283725,NA,intergenic,protein_coding,10286067,10283225,AT1G29390,10286067,10287904,10286409
1,-,10283764,peak_157557,10283764,10284086,NA,intergenic,protein_coding,10286067,10283225,AT1G29390,10286067,10287904,10286409
1,-,10288134,peak_138965,10288134,10288807,211,3UTR,protein_coding,10288129,10288344,AT1G29395,10288129,10289666,10288345
1,-,10289931,peak_138968,10289931,10290552,462,3UTR,protein_coding,NA,NA,AT1G29400,NA,NA,NA
1,-,10297822,peak_157566,10297822,10298348,883,3UTR,protein_coding,10297750,10298704,AT1G29410,10297750,10300008,10298705
1,-,10310184,peak_157569,10310184,10310654,240,3UTR,protein_coding,10310131,10310423,AT1G29470,10310131,10314147,10310424
1,-,10324705,peak_138998,10324705,10325114,848,3UTR,protein_coding,NA,NA,AT1G29530,NA,NA,NA
1,-,10327184,peak_139003,10327184,10327643,1715,3UTR,protein_coding,10327138,10328285,AT1G29535,10327138,10329116,10328899
1,-,10327990,peak_139005,10327990,10328355,909,3UTR,protein_coding,10327138,10328285,AT1G29535,10327138,10329116,10328899
1,-,10351440,peak_139018,10351440,10351898,NA,intergenic,protein_coding,10355638,10329116,AT1G29640,10355638,10356482,10355959
1,-,10355478,peak_157577,10355478,10356272,481,3UTR,protein_coding,NA,NA,AT1G29640,NA,NA,NA
1,-,10364486,peak_157580,10364486,10364576,NA,intergenic,protein_coding,10377790,10356482,AT1G29680,10377790,10378961,10377900
1,-,1037845,peak_128249,1037845,1038073,NA,intergenic,protein_coding,1042362,1036264,AT1G04040,1042362,1043887,1042564
1,-,10379005,peak_157584,10379005,10379708,305,3UTR,protein_coding,NA,NA,AT1G29690,NA,NA,NA
1,-,10380477,peak_139029,10380477,10380747,NA,intron,protein_coding,10380444,10380551,AT1G29690,10379020,10382153,10379310
1,-,10380759,peak_139030,10380759,10381196,NA,intron,protein_coding,10380748,10380955,AT1G29690,10379020,10382153,10379310
1,-,10384975,peak_139034,10384975,10385295,221,3UTR,protein_coding,10384945,10385195,AT1G29700,10384945,10387441,10385196
1,-,10400517,peak_139042,10400517,10401030,368,3UTR,protein_coding,NA,NA,AT1G29730,NA,NA,NA
1,-,10413819,peak_139052,10413819,10414440,252,3UTR,protein_coding,NA,NA,AT1G29750,NA,NA,NA
1,-,10424487,peak_139071,10424487,10425044,NA,intergenic,protein_coding,10425622,10420774,AT1G29775,10425622,10426947,10425794
1,-,1042779,peak_155447,1042779,1043169,NA,intron,protein_coding,1042742,1042953,AT1G04040,1042362,1043887,1042564
1,-,10428386,peak_139078,10428386,10429162,NA,exon,lncRNA,10428004,10429143,AT1G29785,10426779,10429143,10426779
1,-,10429629,peak_157590,10429629,10430302,NA,intergenic,protein_coding,10435374,10429143,AT1G29810,10435374,10437558,10435606
1,-,10436317,peak_139090,10436317,10436821,NA,intron,protein_coding,10436285,10436861,AT1G29810,10435374,10437558,10435606
1,-,10445616,peak_139104,10445616,10446171,119,3UTR,protein_coding,NA,NA,AT1G29840,NA,NA,NA
1,-,10479071,peak_139157,10479071,10479744,251,3UTR,protein_coding,10479007,10479321,AT1G29940,10479007,10486824,10479322
1,-,10486287,peak_139175,10486287,10486801,NA,intron,protein_coding,10486219,10486307,AT1G29940,10479007,10486824,10479322
1,-,10491374,peak_139177,10491374,10491861,NA,intergenic,protein_coding,10498310,10490022,AT1G29965,10498310,10499462,10498458
1,-,10498169,peak_139189,10498169,10498948,289,3UTR,protein_coding,NA,NA,AT1G29965,NA,NA,NA
1,-,10499586,peak_139193,10499586,10500374,NA,intron,protein_coding,10499245,10500119,AT1G29970,10498351,10501427,10498458
1,-,10503134,peak_139197,10503134,10503950,277,3UTR,protein_coding,NA,NA,AT1G29980,NA,NA,NA
1,-,1050391,peak_155449,1050391,1051179,441,3UTR,protein_coding,NA,NA,AT1G04070,NA,NA,NA
1,-,10509079,peak_139204,10509079,10509866,453,3UTR,protein_coding,NA,NA,AT1G30000,NA,NA,NA
1,-,10546464,peak_157597,10546464,10547124,330,3UTR,protein_coding,NA,NA,AT1G30070,NA,NA,NA
1,-,10547135,peak_157598,10547135,10547405,NA,intron,protein_coding,10547051,10547140,AT1G30070,10546511,10548236,10546794
1,-,10550928,peak_157602,10550928,10551361,303,3UTR,protein_coding,10550855,10551230,AT1G30080,10550855,10553295,10551231
1,-,10551496,peak_157603,10551496,10552102,265,3UTR,protein_coding,10550855,10551721,AT1G30080,10550855,10553295,10551231
1,-,10559486,peak_157605,10559486,10560455,260,3UTR,protein_coding,NA,NA,AT1G30090,NA,NA,NA
1,-,10584145,peak_157610,10584145,10584730,205,3UTR,protein_coding,10584105,10584349,AT1G30120,10584105,10586680,10584350
1,-,10641005,peak_139275,10641005,10641607,236,3UTR,protein_coding,NA,NA,AT1G30240,NA,NA,NA
1,-,10650877,peak_139286,10650877,10651472,NA,intergenic,protein_coding,10662608,10647650,AT1G30280,10662608,10664570,10662954
1,-,1066198,peak_128286,1066198,1066525,NA,intron,protein_coding,1066150,1066230,AT1G04120,1064264,1071080,1064848
1,-,10663424,peak_139302,10663424,10664041,NA,CDS,protein_coding,10663424,10663994,AT1G30280,10662608,10664570,10662954
1,-,10669625,peak_157618,10669625,10669679,504,3UTR,protein_coding,NA,NA,AT1G30290,NA,NA,NA
1,-,10669743,peak_157619,10669743,10669794,386,3UTR,protein_coding,NA,NA,AT1G30290,NA,NA,NA
1,-,10669796,peak_157617,10669796,10670704,333,3UTR,protein_coding,NA,NA,AT1G30290,NA,NA,NA
1,-,1067201,peak_128289,1067201,1067676,NA,CDS,protein_coding,1066852,1067550,AT1G04120,1064264,1071080,1064848
1,-,10685750,peak_139330,10685750,10686341,375,3UTR,protein_coding,NA,NA,AT1G30330,NA,NA,NA
1,-,10689994,peak_139339,10689994,10690882,NA,CDS,protein_coding,10689994,10690036,AT1G30330,10685822,10690838,10686125
1,-,1070567,peak_155450,1070567,1070929,NA,intron,protein_coding,1070495,1070687,AT1G04120,1064264,1071080,1064848
1,-,1075401,peak_128300,1075401,1076227,583,3UTR,protein_coding,NA,NA,AT1G04140,NA,NA,NA
1,-,10769479,peak_157625,10769479,10769994,NA,intergenic,protein_coding,10770813,10720843,AT1G30460,10770813,10775428,10771469
1,-,10774301,peak_139409,10774301,10774836,NA,intron,protein_coding,10773516,10774485,AT1G30460,10770813,10775428,10771469
1,-,1078678,peak_128305,1078678,1078749,NA,intron,protein_coding,1078553,1078681,AT1G04140,1075543,1080630,1075984
1,-,10788153,peak_139434,10788153,10788994,348,3UTR,protein_coding,NA,NA,AT1G30475,NA,NA,NA
1,-,1078838,peak_128306,1078838,1078946,NA,CDS,protein_coding,1078838,1078946,AT1G04140,1075543,1080630,1075984
1,-,10796134,peak_139442,10796134,10796530,194,3UTR,protein_coding,10796124,10796327,AT1G30490,10796124,10801093,10796328
1,-,10804463,peak_139452,10804463,10804911,273,3UTR,protein_coding,10804450,10804735,AT1G30500,10804450,10806428,10804736
1,-,10806933,peak_139455,10806933,10807652,217,3UTR,protein_coding,10806930,10807149,AT1G30510,10806930,10809184,10807150
1,-,10816537,peak_139463,10816537,10817244,414,3UTR,protein_coding,NA,NA,AT1G30540,NA,NA,NA
1,-,10819435,peak_139468,10819435,10819872,1403,3UTR,protein_coding,NA,NA,AT1G30545,NA,NA,NA
1,-,10822157,peak_139473,10822157,10822636,184,3UTR,protein_coding,NA,NA,AT1G30550,NA,NA,NA
1,-,10831574,peak_139482,10831574,10832182,379,3UTR,protein_coding,NA,NA,AT1G30580,NA,NA,NA
1,-,10832246,peak_139483,10832246,10832533,NA,intron,protein_coding,10832052,10832247,AT1G30580,10831673,10835635,10831953
1,-,10833958,peak_139489,10833958,10834070,NA,intron,protein_coding,10833862,10833960,AT1G30580,10831673,10835635,10831953
1,-,10835724,peak_139493,10835724,10836240,252,3UTR,protein_coding,NA,NA,AT1G30590,NA,NA,NA
1,-,10841131,peak_139508,10841131,10841749,210,3UTR,protein_coding,10841107,10841340,AT1G30600,10841107,10845242,10841341
1,-,10857372,peak_157629,10857372,10857675,1174,3UTR,protein_coding,NA,NA,AT1G30630,NA,NA,NA
1,-,10858186,peak_157627,10858186,10858811,360,3UTR,protein_coding,NA,NA,AT1G30630,NA,NA,NA
1,-,10897327,peak_139560,10897327,10897733,NA,intergenic,protein_coding,10904775,10880188,AT1G30750,10904775,10905724,10905050
1,-,10898044,peak_157639,10898044,10898711,NA,intergenic,protein_coding,10904775,10880188,AT1G30750,10904775,10905724,10905050
1,-,10904788,peak_157648,10904788,10905469,262,3UTR,protein_coding,10904775,10905049,AT1G30750,10904775,10905724,10905050
1,-,10905737,peak_139564,10905737,10906477,822,3UTR,protein_coding,10905731,10906558,AT1G30755,10905731,10909756,10906559
1,-,10937858,peak_139577,10937858,10938660,281,3UTR,protein_coding,10936765,10938138,AT1G30810,10936765,10941968,10938139
1,-,10939417,peak_139580,10939417,10939952,NA,intron,protein_coding,10939322,10939417,AT1G30810,10936765,10941968,10938139
1,-,10944860,peak_139591,10944860,10945611,391,3UTR,protein_coding,NA,NA,AT1G30820,NA,NA,NA
1,-,10947372,peak_139601,10947372,10947676,NA,CDS,protein_coding,10947372,10947422,AT1G30820,10944908,10949482,10945251
1,-,10952446,peak_139604,10952446,10952494,NA,intergenic,tRNA,10963573,10949482,AT1G30830,10963573,10963646,10963573
1,-,10985215,peak_157660,10985215,10985718,NA,intergenic,protein_coding,10986496,10963646,AT1G30860,10986496,10989593,10986696
1,-,10986480,peak_139628,10986480,10987010,216,3UTR,protein_coding,NA,NA,AT1G30860,NA,NA,NA
1,-,10993050,peak_139631,10993050,10993750,329,3UTR,protein_coding,10993002,10993378,AT1G30880,10993002,10994148,10993379
1,-,11054733,peak_139683,11054733,11055101,193,3UTR,protein_coding,11054731,11054925,AT1G31010,11054731,11056959,11054926
1,-,11077255,peak_139705,11077255,11078000,NA,intron,protein_coding,11076937,11077477,AT1G31050,11075398,11079289,11075720
1,-,11104139,peak_139724,11104139,11104983,236,3UTR,protein_coding,NA,NA,AT1G31120,NA,NA,NA
1,-,11105715,peak_139727,11105715,11105932,NA,intron,protein_coding,11105667,11105764,AT1G31120,11104237,11108095,11104375
1,-,11114704,peak_157680,11114704,11115394,259,3UTR,protein_coding,11114693,11114962,AT1G31130,11114693,11116195,11114963
1,-,11122604,peak_139734,11122604,11123193,276,3UTR,protein_coding,11122604,11122879,AT1G31160,11122604,11124220,11122880
1,-,11142495,peak_139751,11142495,11142926,348,3UTR,protein_coding,11142461,11142842,AT1G31180,11142461,11144717,11142843
1,-,1119699,peak_128371,1119699,1120132,154,3UTR,protein_coding,1119699,1119852,AT1G04220,1119699,1122786,1119853
1,-,11198426,peak_139801,11198426,11198789,139,3UTR,protein_coding,11198353,11198564,AT1G31310,11198353,11200141,11198565
1,-,11214781,peak_139802,11214781,11215321,230,3UTR,protein_coding,11214676,11215010,AT1G31330,11214676,11216141,11215011
1,-,11216862,peak_139805,11216862,11217430,255,3UTR,protein_coding,11216810,11217116,AT1G31335,11216810,11217546,11217117
1,-,11221283,peak_157684,11221283,11222264,236,3UTR,protein_coding,11221267,11221518,AT1G31350,11221267,11222827,11221519
1,-,11245026,peak_139825,11245026,11245488,199,3UTR,protein_coding,NA,NA,AT1G31400,NA,NA,NA
1,-,11246831,peak_157687,11246831,11247554,263,3UTR,protein_coding,11246817,11247093,AT1G31410,11246817,11249587,11247094
1,-,11255830,peak_139844,11255830,11256325,320,3UTR,protein_coding,NA,NA,AT1G31440,NA,NA,NA
1,-,11273506,peak_139870,11273506,11274383,315,3UTR,protein_coding,NA,NA,AT1G31500,NA,NA,NA
1,-,1128077,peak_128380,1128077,1128694,487,3UTR,protein_coding,NA,NA,AT1G04240,NA,NA,NA
1,-,11312978,peak_139887,11312978,11313945,398,3UTR,protein_coding,11312961,11313375,AT1G31600,11312961,11316435,11313376
1,-,11313971,peak_139888,11313971,11314249,NA,intron,protein_coding,11313945,11314033,AT1G31600,11312961,11316435,11313376
1,-,11316049,peak_139889,11316049,11316515,NA,intron,protein_coding,11315641,11316402,AT1G31600,11312961,11316435,11313376
1,-,113240,peak_127029,113240,113426,NA,intergenic,protein_coding,121067,111961,AT1G01320,121067,130577,121582
1,-,11326212,peak_139890,11326212,11326872,262,3UTR,protein_coding,NA,NA,AT1G31650,NA,NA,NA
1,-,11330896,peak_139898,11330896,11331423,280,3UTR,protein_coding,NA,NA,AT1G31660,NA,NA,NA
1,-,11370466,peak_139927,11370466,11371134,343,3UTR,protein_coding,NA,NA,AT1G31750,NA,NA,NA
1,-,11371483,peak_139928,11371483,11371592,NA,intron,protein_coding,11371099,11371790,AT1G31750,11370585,11372197,11370809
1,-,11372391,peak_139930,11372391,11372786,211,3UTR,protein_coding,NA,NA,AT1G31760,NA,NA,NA
1,-,11374680,peak_157696,11374680,11375561,572,3UTR,protein_coding,NA,NA,AT1G31770,NA,NA,NA
1,-,11378220,peak_139938,11378220,11378794,NA,intergenic,protein_coding,11394690,11377885,AT1G31790,11394690,11396018,11394744
1,-,11397152,peak_139953,11397152,11397364,NA,intergenic,protein_coding,11399607,11396018,AT1G31810,11399607,11406809,11399922
1,-,11399184,peak_139956,11399184,11400107,738,3UTR,protein_coding,NA,NA,AT1G31810,NA,NA,NA
1,-,11405612,peak_139974,11405612,11405775,NA,intron,protein_coding,11405592,11405688,AT1G31810,11399607,11406809,11399922
1,-,11410649,peak_157699,11410649,11411221,483,3UTR,protein_coding,NA,NA,AT1G31812,NA,NA,NA
1,-,11411333,peak_157700,11411333,11411462,NA,intron,protein_coding,11411218,11411349,AT1G31812,11410766,11412233,11411132
1,-,11411515,peak_157701,11411515,11411636,NA,intron,protein_coding,11411413,11411516,AT1G31812,11410766,11412233,11411132
1,-,11412353,peak_157702,11412353,11413256,632,3UTR,protein_coding,NA,NA,AT1G31814,NA,NA,NA
1,-,11414722,peak_157705,11414722,11415665,210,3UTR,protein_coding,11414695,11414931,AT1G31817,11414695,11416444,11414932
1,-,1141513,peak_128396,1141513,1142128,NA,5UTR,protein_coding,1141298,1141564,AT1G04260,1140278,1141564,1140749
1,-,11416481,peak_139978,11416481,11417035,210,3UTR,protein_coding,11416451,11416690,AT1G31820,11416451,11418464,11416691
1,-,11418601,peak_157706,11418601,11419454,274,3UTR,protein_coding,11418589,11418874,AT1G31830,11418589,11420961,11418875
1,-,11434108,peak_157709,11434108,11434497,142,3UTR,protein_coding,11434060,11434249,AT1G31860,11434060,11436607,11434250
1,-,11434525,peak_157710,11434525,11434676,NA,CDS,protein_coding,11434525,11434676,AT1G31860,11434060,11436607,11434250
1,-,1144233,peak_128400,1144233,1144784,NA,intron,protein_coding,1144125,1144233,AT1G04280,1143436,1147091,1143643
1,-,11453377,peak_157719,11453377,11453783,NA,intergenic,protein_coding,11461855,11436607,AT1G31920,11461855,11463857,11461864
1,-,11454021,peak_157718,11454021,11454759,NA,intergenic,protein_coding,11461855,11436607,AT1G31920,11461855,11463857,11461864
1,-,11456126,peak_140008,11456126,11456666,NA,intergenic,protein_coding,11461855,11436607,AT1G31920,11461855,11463857,11461864
1,-,1147437,peak_155464,1147437,1147864,284,3UTR,protein_coding,1147297,1147720,AT1G04290,1147297,1148533,1147721
1,-,1148502,peak_155465,1148502,1149274,NA,5UTR,protein_coding,1148353,1148533,AT1G04290,1147297,1148533,1147721
1,-,1150898,peak_128409,1150898,1151853,NA,intron,protein_coding,1150883,1150967,AT1G04300,1148564,1154659,1148818
1,-,11534509,peak_140073,11534509,11535014,342,3UTR,protein_coding,NA,NA,AT1G32070,NA,NA,NA
1,-,11539902,peak_140082,11539902,11540610,342,3UTR,protein_coding,NA,NA,AT1G32090,NA,NA,NA
1,-,11546309,peak_157724,11546309,11546699,163,3UTR,protein_coding,11546160,11546471,AT1G32100,11546160,11548016,11546472
1,-,11546976,peak_157722,11546976,11547363,NA,intron,protein_coding,11546966,11547075,AT1G32100,11546160,11548016,11546472
1,-,11558062,peak_157730,11558062,11558665,1084,3UTR,protein_coding,NA,NA,AT1G32130,NA,NA,NA
1,-,11558706,peak_157731,11558706,11558773,440,3UTR,protein_coding,NA,NA,AT1G32130,NA,NA,NA
1,-,11558792,peak_157729,11558792,11559246,354,3UTR,protein_coding,11558755,11559145,AT1G32130,11558755,11561899,11559146
1,-,11569448,peak_140117,11569448,11569867,NA,intergenic,protein_coding,11586391,11564833,AT1G32180,11586391,11589651,11586516
1,-,11601632,peak_157736,11601632,11602562,591,3UTR,protein_coding,NA,NA,AT1G32200,NA,NA,NA
1,-,11603,peak_126933,11603,12255,261,3UTR,protein_coding,NA,NA,AT1G01030,NA,NA,NA
1,-,11605417,peak_157739,11605417,11606200,1066,3UTR,protein_coding,NA,NA,AT1G32210,NA,NA,NA
1,-,11606707,peak_140143,11606707,11606937,NA,intron,protein_coding,11606131,11606712,AT1G32210,11605606,11607777,11606483
1,-,1162873,peak_128423,1162873,1163456,472,3UTR,protein_coding,NA,NA,AT1G04340,NA,NA,NA
1,-,11656997,peak_157749,11656997,11657720,268,3UTR,protein_coding,11656964,11657264,AT1G32330,11656964,11660471,11657265
1,-,11662994,peak_140180,11662994,11663669,468,3UTR,protein_coding,NA,NA,AT1G32340,NA,NA,NA
1,-,11670855,peak_140193,11670855,11671193,NA,intergenic,lncRNA,11672237,11668690,AT1G06537,11672237,11672483,11672237
1,-,11673150,peak_157752,11673150,11673259,NA,intergenic,lncRNA,11678679,11672483,AT1G06543,11678679,11678929,11678679
1,-,116860,peak_155195,116860,117744,NA,intergenic,protein_coding,121067,111961,AT1G01320,121067,130577,121582
1,-,11688953,peak_140210,11688953,11689566,440,3UTR,protein_coding,NA,NA,AT1G32400,NA,NA,NA
1,-,11718872,peak_140234,11718872,11719072,NA,intron,protein_coding,11717303,11718957,AT1G32450,11715147,11719988,11715337
1,-,11719430,peak_140235,11719430,11719974,NA,intron,protein_coding,11719073,11719777,AT1G32450,11715147,11719988,11715337
1,-,11740645,peak_140238,11740645,11741256,NA,intergenic,protein_coding,11742006,11740399,AT1G32490,11742006,11749783,11742356
1,-,11742032,peak_140240,11742032,11742439,324,3UTR,protein_coding,11742006,11742355,AT1G32490,11742006,11749783,11742356
1,-,11747318,peak_140256,11747318,11747647,NA,CDS,protein_coding,11747318,11747377,AT1G32490,11742006,11749783,11742356
1,-,11747768,peak_157767,11747768,11747891,NA,intron,protein_coding,11747735,11747856,AT1G32490,11742006,11749783,11742356
1,-,11747912,peak_157769,11747912,11747964,NA,intron,protein_coding,11747891,11748223,AT1G32490,11742006,11749783,11742356
1,-,11749768,peak_157771,11749768,11750350,NA,5UTR,protein_coding,11749566,11749783,AT1G32490,11742006,11749783,11742356
1,-,11759346,peak_140264,11759346,11760191,320,3UTR,protein_coding,NA,NA,AT1G32530,NA,NA,NA
1,-,11774439,peak_140276,11774439,11774726,NA,intergenic,lncRNA,11778401,11774294,AT1G06577,11778401,11778712,11778401
1,-,117747,peak_155197,117747,117908,NA,intergenic,protein_coding,121067,111961,AT1G01320,121067,130577,121582
1,-,1179270,peak_128437,1179270,1180110,408,3UTR,protein_coding,NA,NA,AT1G04390,NA,NA,NA
1,-,11795552,peak_157778,11795552,11796485,340,3UTR,protein_coding,NA,NA,AT1G32610,NA,NA,NA
1,-,11798812,peak_157785,11798812,11799396,230,3UTR,protein_coding,11798119,11799041,AT1G32640,11798119,11801407,11799042
1,-,11799677,peak_157786,11799677,11800124,NA,CDS,protein_coding,11799042,11800913,AT1G32640,11798119,11801407,11799042
1,-,11800476,peak_157784,11800476,11800758,NA,CDS,protein_coding,11799042,11800913,AT1G32640,11798119,11801407,11799042
1,-,11820787,peak_140296,11820787,11821757,292,3UTR,protein_coding,NA,NA,AT1G32690,NA,NA,NA
1,-,11842348,peak_140310,11842348,11842419,NA,intergenic,protein_coding,11846247,11834226,AT1G32750,11846247,11856765,11846385
1,-,11842441,peak_140311,11842441,11842986,NA,intergenic,protein_coding,11846247,11834226,AT1G32750,11846247,11856765,11846385
1,-,11845017,peak_140314,11845017,11845948,NA,intergenic,protein_coding,11846247,11834226,AT1G32750,11846247,11856765,11846385
1,-,11846144,peak_140315,11846144,11846820,241,3UTR,protein_coding,NA,NA,AT1G32750,NA,NA,NA
1,-,1185499,peak_128449,1185499,1186327,220,3UTR,protein_coding,NA,NA,AT1G04400,NA,NA,NA
1,-,11858041,peak_140326,11858041,11858739,NA,intergenic,protein_coding,11860407,11856765,AT1G32763,11860407,11860923,11860486
1,-,1187260,peak_128451,1187260,1187513,NA,CDS,protein_coding,1187260,1187484,AT1G04400,1185512,1188696,1185719
1,-,11874378,peak_157794,11874378,11875259,650,3UTR,protein_coding,NA,NA,AT1G32790,NA,NA,NA
1,-,11876585,peak_157799,11876585,11877149,NA,intron,protein_coding,11876458,11876747,AT1G32790,11874508,11877387,11875028
1,-,11907067,peak_157805,11907067,11907415,241,3UTR,protein_coding,11907044,11907307,AT1G32860,11907044,11909049,11907308
1,-,11907501,peak_157806,11907501,11907920,NA,intron,protein_coding,11907380,11907594,AT1G32860,11907044,11909049,11907308
1,-,11920418,peak_140357,11920418,11920704,164,3UTR,protein_coding,11920390,11920581,AT1G32900,11920390,11923866,11920582
1,-,11930996,peak_140366,11930996,11931189,984,3UTR,protein_coding,NA,NA,AT1G32930,NA,NA,NA
1,-,11933088,peak_140371,11933088,11933690,NA,intron,protein_coding,11933060,11933147,AT1G32930,11931842,11934759,11931980
1,-,11945106,peak_157811,11945106,11945585,NA,intergenic,protein_coding,11948650,11944982,AT1G32970,11948650,11951982,11948721
1,-,11945721,peak_157812,11945721,11946144,NA,intergenic,protein_coding,11948650,11944982,AT1G32970,11948650,11951982,11948721
1,-,11946151,peak_157814,11946151,11946213,NA,intergenic,protein_coding,11948650,11944982,AT1G32970,11948650,11951982,11948721
1,-,11946267,peak_157813,11946267,11946707,NA,intergenic,protein_coding,11948650,11944982,AT1G32970,11948650,11951982,11948721
1,-,11946848,peak_140388,11946848,11947828,NA,intergenic,protein_coding,11948650,11944982,AT1G32970,11948650,11951982,11948721
1,-,11948491,peak_140389,11948491,11949467,230,3UTR,protein_coding,NA,NA,AT1G32970,NA,NA,NA
1,-,11951087,peak_157820,11951087,11951181,NA,intron,protein_coding,11951013,11951109,AT1G32970,11948650,11951982,11948721
1,-,11967787,peak_140399,11967787,11968513,574,3UTR,protein_coding,11967783,11968004,AT1G33050,11967783,11971072,11968361
1,-,11971759,peak_157827,11971759,11972596,577,3UTR,protein_coding,11971308,11972335,AT1G33055,11971308,11972580,11972336
1,-,119936,peak_127033,119936,120299,NA,intergenic,protein_coding,121067,111961,AT1G01320,121067,130577,121582
1,-,12002217,peak_140414,12002217,12002900,316,3UTR,protein_coding,NA,NA,AT1G33102,NA,NA,NA
1,-,1200962,peak_128473,1200962,1201503,NA,intergenic,protein_coding,1210924,1191458,AT1G04470,1210924,1214841,1211177
1,-,12051354,peak_157829,12051354,12052116,505,3UTR,protein_coding,NA,NA,AT1G33240,NA,NA,NA
1,-,12055659,peak_157835,12055659,12056279,NA,intergenic,protein_coding,12057198,12054753,AT1G33250,12057198,12059792,12057524
1,-,12057204,peak_140448,12057204,12057682,320,3UTR,protein_coding,12057198,12057523,AT1G33250,12057198,12059792,12057524
